汽车总动员3
好了 我们开始吧  Okay. Here we go.
我还是无法接受拒绝的答案 对吧里弗  I still short to take no for an answer, right River?
如果等邀请那我们可能永无比赛的机会  If we waited for an invitation, we might have never raced.
上了赛道 我们就再也不想离开  And once we got on the track, we didn't want to leave.
蓝天博士这是这样想  And that's how Doc felt too.
你该见见他当年刚来的时候  You should have seen him when he first came to town.
炫目蓝漆 不是随便的哈德森·大黄蜂  Shiny blue paint, not just a Hudson Hornet
当时他就叫自己 超凡哈德森·大黄蜂了  he was already calling himself the fabulous Hudson Hornet
我们后来就向他挑战    不久以后  Did we ever ride him on that.    Not for long.
蓝天是密西西比这边  Hud was the fastest race of
最快的赛车    直到他不再是  this side of the Mississippi.    Until he wasn't.
什么  What!!
直到新人出现 一切都变了  Everything changed when the Rookie showed up.
蓝天不费吹灰之力就超过了  Took Hud all at no time to work
南卡和北卡的最佳赛车  his way through the best Racers in both Carolinas.
超越里弗 路甚至是朱尼尔  Passed River, passed Lou, even Junior.
但还要超过那个新人  But there was still the rookie to deal with.
他试着把他撞到墙上  He tried slamming him into the wall,
但如果不想 蓝天绝不会碰到墙  but Hud never touched any wall unless he wanted to.
那个新人可没见过这样的绝技  That rookie never saw anything like that before.
博士这么棒    开玩笑吧  Doc did that!!    Oh are you kidding?
他为此可是得意了一周  Couldn't wipe the smile off his face for a week after that.
真希望见过当时的他  I wish I could have seen him like that.
什么  Like what?
那么开心  So happy.
你可不是来加油的吧  You didn't come all this way for a quart of oil, did you?
斯莫基 我需要你的帮助  I need your help Smokey.
什么样的帮助  Yeah, what kind of help?
我还不确定  That's just it, I'm not sure.
我只知道如果输了弗罗里达的比赛就完了  All I know is if I lose in Florida, it's it's over for me.
发生在博士身上的也同样会发生在我身上  what happened to Doc will happen to me.
他怎么了  What did happen to him?
赛车是他一生中最美好的 结束赛车生涯时  No, racing was the best part of his life and when it ended he...
我们都清楚从那时起那就变了个人  We both know he was never the same after that.
你想的就是这个  Is that what you think?
来 我给你看点东西  Come on, I want to show you something.
前半部分你说对了  You got the first part right.
撞车伤了哈德的身体 不能再赛车伤了他的心  The crash broke Hud's body and the no more racing broke his heart.
他把自己隔绝了起来 来到了水箱温泉镇  He cut himself off, disappeared to radiator Springs.
这个王八蛋50年没跟我说过话了  Son   of   a   gun didn't talk to me for 50 years.
终于有一天他开始说话了  But then one day the letters started coming.
张口闭口都是在说你  And every last one of them was about you.
哈德喜欢赛车 但是给你当教练  Yeah, Hud loved racing but coaching you...
我就没见这个老家伙这么开心过  I had never seen the old grump so happy.
赛车并不是哈德一生中最美好的  Racing wasn't the best part of Hud's life,
你才是  you were.
准备好出去透透气了吗    准备好了  Ready to go out for little carbon air, boy?    Yes, I am.
油门踩太猛都快开到郁金香里去了  Give it too much travel you in the tulip.
闪电 这个你可能会想要记录一下  hey, Lightning you might want to take notes on this one.
你很有天赋 孩子  You got a lot of stuff, kid.
哈德在你身上看到了你自己都没看到的闪光点  Hud saw something in you that you don't even see in yourself.
你准备好去认识自己了吗  Are you ready to go find it?
是的 先生  Yes, sir.
好了 好了  All right, all right.
第一课 你老了 承认吧  Lesson one: You're old. Accept it.
我跟他说过  I told him that.
他可能耳朵不大好使了  He is probably losing his hearing.
他说你老了    我听见了  He said you're old.    I heard him.
你永远都不会像风暴一样快  You'll never be as fast as Storm,
但是你可以比他更聪明  but you can be smarter than him.
好 我该怎么做  Okay, what do I do?
你说你参加了德贝冲撞大赛  You said you were in a demolition derby..
是的 特别恐怖    你确定吗  Yeah , it was terrible.    Are you sure?
你身上连一道刮伤都没有  'Cause there's not a scratch on you.
当一个赛车手没想太多的时候能做到什么  Funny what a racer can do when he's not overthinking things.
这里是佛罗里达国际大赛 我是主持人香农  Shannon spokes here at Florida international
杰克逊·风暴今天的竞赛速度达到了214迈  Jackson Storm clocked 214 miles per hour today.
你要想打败风暴 你需要一个替身  You want to beat the Storm, you need someone to stand in for,
就像陪练似的  like a sparring partner.
我不太确定 我不是赛车手  I'm not so sure. I not a racer,
我就是个训练员    加油 证明自己  just a trainer.    Go ahead and gun it
不加消音器的话 你连声音都像风暴  With no muffler, you even sound like Storm.
你要不行了 麦坤  Oh, you're going down McQueen.
把那个关节炎铁路行李箱放铁轨上  Get that arthritis rail keister onto the tracks, so I can
这样我就能把这帮老家伙打发回去了  put you into the old folks home against your will.
怎么样  How is that?
挺好使    对我是好使  That will work.    Work for me.
我就不用了    是 挺好使的  I'm good.    Yeah, that will do.
她刚才说什么…  What ever she says...
佛罗里达进行资格审查的时候你没来  You didn't show up in Florida for qualifying,
所以你只能最后出发  so you'll be starting dead last.
我给你三圈的机会超过她  I'll give you three laps to catch her
整场就跑三圈  Go through the entire field in three laps!!
你到底想不想打败风暴    当然想  You wanna beat Storm or not?    Yes, of course I do
那就出发吧  Well, then go!!
加油 孩子  Come on, kid
好吧 看来我们有活干了  All right, looks like we got some work to do.
快点 条件反射是第一个要过关的事  Look alive. Reflexes are the first thing to go.
我们为什么在赛场里  Why are we in a field?
从窗口穿过去  Sneak through that window.
什么意思    我也不知道  What is that mean?    I don't know!
出发  Go.
一点都不好玩 不好玩  Not cool man, not cool.
回来吧  Let's roll it back.
你还想不想离开这了  Do you even want to be out here?
就剩两天了 我们得加把劲了  Only two days left, yet we gotta work harder.
搞什么 那是谁  What the hell, who is that?
我把麦坤加里了 给你点真正的竞争  I put McQueen in there to give you some real competition.
哈德是能让其他车为他效劳的大师  Hud was a master of letting the other cars do the work for him
他以前常说 跟他打比赛  He used to say, playing to him
就仿佛你们是夏夜里的两只六月虫  is like you were two June bugs on a summer night
他那招是偷了我的  He stole that from me.
漂移？我从来不需要用那招  Drafting? I've never had to do that.
没错 那是因为当年你很快  Yeah, that's when you were fast,
现在你又慢    又老    还晃晃悠悠的  Now you're slow and old and rickety and...
好了 好了 我知道了  Okay, okay, I get it.
新的你要寻找 那些你未曾意识到的机会  The new you has to look for opportunities you never knew were there.
从窗口穿过去  Sneak through the window.
从窗口穿过去    什么  Sneak through the window.    What?
有窗户打开的话 抓住机会  When a window opens take it.
我成功了  I made it.
来吧 动起来  Let's go, let's move.
条件反射  Reflexes!
好了 吉多 来点真家伙    好的  Alright Guido, turn up the heat.    Ok
看看谁终于现身了  Alright, look who finally showed up.
这就是我们磨赛车牙的地方    在森林里  This is where we cut our racing teeth.    In the woods?
我们还是说月亮一直照耀着我们  Let's just say the moon was always shining on us.
如果没有月光照耀的话 我们就不用  If the moon didn't shine we didn't have to...
算了不说了  Oh, nevermind
我们追着月光跑 傻瓜  We ran moonshine, dummy!
还有 不开大灯 全凭直觉  By the way, no lights. Instinct only.
麦坤还没到？当年他还是新手时 不就玩过这招么  McQueen still not here, didn't he pull this when he was a rookie?
这是我爷爷告诉我的  This is my grandfather told me.
好了 我们还有时间再跑最后一场  All right, we got time for one last race.
快点 老大  Hurry this along, boss.
我们得把你送到佛罗里达    加油  We gotta get you to Florida!    Go!!
也许最好是他不来参赛  Maybe it's best that he doesn't show up,
你也知道上个赛季是什么结果  you know after how last season ended.
让我这么说好了  Let me put it this way.
我可不想因为想知道麦坤在哪儿 而浪费睡眠  I'm not losing any sleep wondering where Lightning McQueen is!
加油 加油  Come on! Come on!
快呀  There you go!
麦坤没劲了 麦坤没劲了 麦坤衰退得太快了  McQueen is fading! McQueen is fading! Fading fast!!
看到吗 真是不可思议  Did you see that? That was incredible.
抱歉 我不是故意要…  Uh, sorry. I didn't mean to...
老大 该上路了  Hey boss, it's time to hit the road.
我想感谢各位帮助我训练  Yeah, I wanna thank everyone for the training.
我们该去佛罗里达了  We better get going to Florida.
欢迎参加赛车盛会  Welcome to racing's greatest day
我们在佛罗里达海滨的国际赛车道  We're beachside at the Florida international speedway
宣布新一季的活塞杯比赛开幕  to kick off a new season of Piston Cup racing
这里是佛罗里达500  It's the Florida 500.
43辆汽车在数百万粉丝的期待中  43 cars in a quarter million fans
迎来了今天紧张刺激的竞赛 这是战略和技巧的竞赛  await today's intense contest of strategy, skill,
当然更是速度的竞争  but most of all speed.
盛大的赛车之日就要来临  This crowd is in for one great day of racing.
我是鲍勃·卡特拉斯  I'm Bob Cutlass joined as
在我身边的仍然是我的广播伙伴达雷尔·车旅  always by my broadcasting partner Darrell Cartrip,
以及分析师娜塔莉·瑟特恩  and stat sensation Natalie Certain.
我从来没见过风暴他们  I've never seen the numbers
今天这样的阵势 鲍勃  lineup for Storm like they do today, Bob.
风暴获胜的可能性最高有96.8%  Storm should be ninety six point eight percent unstoppable.
也别小瞧了闪电麦坤  Well, don't overlook Lightning McQueen.
惠普尔过滤器  Whipple filter.
我们听到传闻 麦坤来这儿前通常会接受训练  We've heard stories of the unusual way McQueen trained to get here.
现在的问题是 有没有效果呢  Now the question is did it work?
速度 我就是…速度？  Speed. I am... speed?
老大 他们叫选手们上赛道了  Hey boss, they are calling the Racers to the track.
杰夫·格威特 今天的人才储备怎么样  Jeff Gorvette, how does today's talent stack up?
我想我们今天会有好事的 这些选手…  Oh I think we're in for a treat today. These Racers...
麦坤 为我们这些老家伙赢一把    会的 杰夫  Hey McQueen, win one for us old guys..    Will do Jeff...
大家好  Hey guys.
贴纸    莎莉  Stickers.    Hey, Sal,
你好吗    当然  Are you okay?    Yeah yeah..
非常好  Absolutely.
听着 你今天一定会表现得很棒  Listen, you're gonna do great today.
不管发生什么  And no matter what happens,
我都会向下个新人投怀送抱 忘记我认识过你  I'm gonna move on to the next rookie and forget I ever knew you
真高兴你在这儿  I'm glad you're here.
穿得真漂亮 过来一起拍个照  Wow, nice costume. Come here. Let's get a picture.
见到我的头号粉丝真是太棒了  It's so great to meet my number one fan.
真是个混蛋  What a jerk!
她不是粉丝 风暴    是你啊 冠军  She's not a fan, Storm.    Oh, hey there champ.
听说今天之后你就要去卖挡泥板了 真的吗  I heard you're selling mud flap after today. Is that true?
你要让我做你的第一个客户 好吗  Hey you put me down for the first case okay.
闪电麦坤  Lightning McQueen!
闪电  Hey Lightning!
斯特林先生  Hey Mr. Sterling!
敬未来 如何 冠军  To the future. Hey champ?
好 敬未来  Yeah, to the future.
只要集中精力想你在这里要做什么 孩子  Hey... just focus on what you're here to do, kid.
谢谢 斯莫基    去让哈德骄傲吧  Thanks Smokey.    Now, go make Hud proud.
没问题  You got it.
闪电麦坤从比赛开始 一直在稳步加速  Lightning McQueen is making steady progress in the early parts of this race.
这速度赶超风暴可不够    既然他一开始是垫底  It won't be enough to catch Storm.    Considered he started dead last,
我想他应该不会再差到哪儿去  I don't think he's doing half bad out there.
保持下去也不算太坏 你会进前十名的  Not too shabby keep this up, you'll finish in the top ten.
前十名可不行 斯莫基  Top ten is not going to cut it, Smokey.
我必须要大获全胜  I got to go all the way.
那就好好回忆你训练时的细节  So dig in remember your training,
找到风暴 赶超他  find Storm and chase him down.
告诉他 他有三圈可以抓住我  Oh tell him he has three laps to catch me
科鲁兹说 你有三圈可以抓住她  Cruz says you've got three laps to catch her.
好 替我谢她  Okay. Tell her thanks.
科鲁兹 你在这干什么呢  Cruz, what are you doing here?
斯特林先生 我只是在…  Oh Mr. Sterling, I was just...
你给我马上回训练中心  I would like you to head back to the training center right away,
可为什么呢  Oh! But why?
我要你去让库尔特准备参加下周末的比赛  I need you to get Kurt up to speed for the race next weekend.
等等 不要库尔特 他太烂了 换一个 罗纳德吧  Wait, not Kurt. He's the bug guy, right? The other one, Ronald.Yes
我想在这儿看比赛    这可不行 科鲁兹  I want to stay and watch.    That's not gonna happen, Cruz.
快走吧    可麦坤先生还有机会…  Now go.    But Mr. McQueen still has a chance...
快去干你的活  Just go do your job.
是 先生  Yes, sir.
把那个扰流板和赛车轮胎拿下来  And take off that spoiler and those racing tires.
你看上去真可笑  You look ridiculous.
记住你是个训练师 不是选手 不是选手  You are a trainer, remember not a racer! Not a racer!
如果你是选手  If you were racer,
你就该懂我在说什么 可你不懂  you'd know what I'm talking about. But you're not.
所以别犯傻了  So you don't
不不不 她不是选手 她是训练师  No no no, she's not a racer she's a trainer.
因为你 我想成为一名赛车选手  I wanted to become a racer forever, because of you!
这是我唯一的机会 但我没有抓住  It was my one shot and I didn't take it. It was my one shot I didn't take it
进入第二圈 进入第二个转弯 坚持 坚持  Break in two! Break in turn two! Hold on! Hold on!
孩子 你还好吗  Kid, are you okay?
斯莫基 我需要科鲁兹    现在别管那个  Smokey, I need Cruz.    Never mind that now.
不 我要她马上回来 让她回来  No, I need her back here now. Get her back
危机仍未解除…  Yellow flags still out folks...
哈密尔顿 这有个来自查斯特·增压过滤王的通话  Hamilton here call from Chester whipple filter.
查斯特 麦坤先生  Chester! Mr. McQueen!
绿灯亮起  Well the green lights on
场内赛道开放了 所有车都进来了  pit road is opening and everybody's coming in.
准备好各位 路易吉 吉多 轮胎 费尔默 汽油  Get ready guys Luigi, Guido   tire, Fillmore   fuel
我来了 怎么样了  Okay, I'm here. What's going on?
不 不是我 是她    她回来干什么  No, not me... her!    What is she doing back there?
快点 伙计们 快给她装备好    等等 怎么回事  Come on guys, get her set up quickly.    Okay, wait! What's happening?
雷蒙 带了画笔吗    当然  Hey Ramone, got your paints?    You know I do.
等等 你们在干什么  Wait! Guys! What are you doing?
我不明白  Man. I don't understand it.
那里是麦坤的位置 肯定有哪里不对  McQueen's just sat there. Something's got to be wrong.
麦坤先生    今天是你的好日子 科鲁兹  Mr. McQueen!    Today's is your day, Cruz
你将把握机会 一战成名    什么  you're getting your shot    What!
这场比赛由我开跑 也将由你结束  I started this race and you're gonna finish it
什么 她会砸了牌子的 她只是个训练生  What! She will damage the brand. She's just a trainer
不 她是个赛车手  No, she's a racer.
只不过我花了点时间才看出这一点  Just took me a while to see you.
这不合法  That can't be legal.
规则只说了号码不得变更  The rules only said the number has to be out there,
没说穿戴号码的车不可以    你不能这么做  doesn't say who has to wear it.    No, you can't do that.
我有告诉过你我有多喜欢你的挡泥板吗  Hey, did I ever tell you how much I love your mud flaps?
别挡路  Get out of my way!
我就给自己备了美容挡板 教堂挡板…  Well, I got my the facial flaps, the church flaps...
加油同志们 我们一定要让她上场 快啊  Come on guys, we gotta get her out there, let's go.
检查燃料    良好  Check fuel!    Checked!
拉蒙  Ramone!
就这么点时间 我尽力了 老大  Best I could do in the time frame boss.
不错 很好  Yeah, that'll work.
你为什么要这么做 是你自己说的  Why are you doing this! You said it yourself.
这可能是你最后一次机会了  This might be your last chance.
也是我最后一次让你崭露头角的机会 科鲁兹  Which makes it my last chance to give you your first chance, Cruz.
这次 我希望你能把握住机会  This time I want you to take it.
她会把那个领头的超过去的  She's got a beat that pace car out.
不行 不行 你不能这么干  No, no, no, you can't do that.
过了这村儿没这店儿了  Now or never.
你怎么想  What do you say
二十五迈的速度比较合适我    我知道  25 miles per hour fits me.    I know that.
闪电麦坤的队伍 换上了另一辆持95号的车  Lightning McQueen's team has headed a different car supporting the 95.
真不敢相信我都看到了什么  I don't believe what I'm seeing.
你有在看吧  You're watching this right?
什么 穿制服的那女的  What? the girl in the costume.
开玩笑吧 他居然让她上场  You'e kidding me! He put her in the race!
比赛继续 我们继续关注  The green flag is out, and we are back to racing.
科鲁兹 你干什么呢 加油 集中精神  Cruz, what are you doing? Come on, pick it up.
你得再跑快点 好吗  You got to go faster, okay.
叫她弗朗西斯·安全带  Call her Francis beltline and
告诉她 死亡校车在追她  tell her the the school bus of death is after her.
什么 我不要    相信我  What! No!    Trust me.
弗朗西斯·安全带 死亡校车在后面追你哟  Francis beltline, the school bus of death is after you.
什么 好的  What? Oh..., right
好吧 这招倒是新鲜  Okay, that was different.
科鲁兹 你表现得太紧张了  Cruz, you are looking too tight now.
拜托 放松点  Come on, loosen it up!
跟她说她是一团松软的云  Tell her she is a fluffy cloud.
什么 才不要    斯莫基 快说  What! No!    Smokey, tell her.
科鲁兹 你就是一团松软的云  Cruz, you are a fluffy cloud.
好的 太紧张  Oh, right... too tight.
我是松软的云 我是松软的云  I am a fluffy cloud! I am a fluffy cloud!
你刚进入弯道了  You just pick the turns.
科鲁兹 心思要放到比赛上  Cruz, get your head in the race.
别别别 等下 等下  No, no, no, wait, wait, wait!
告诉她 她正在海滩上  Tell her she's on a beach and
所有的出租车都回家过夜了  all the little cabbies have gone night   night.
不要 我才不说 要说你说  No. Aingt saying that. You tell her.
好了科鲁兹 想想海滩 我让你想想海滩  All right, Cruz. The beach, I need you to think of the beach.
麦坤先生    对对 是我 回想海滩  Mr. McQueen!    Yeah, yeah, it's me. Remember th beach
选好赛道 不要跑偏 懂了  Oh, pick a line! Stick to it! I got it.
好 还不赖嘛  All right, not too bad.
实战跟模拟一点都不一样  This is nothing like the simulator.
你需要的一样不缺 想想托马斯维尔  You got every toy in need. Remember Thomasville.
托马斯维尔    对 从窗户溜进溜出  Thomasville?    Yeah, sneak through the window.
现在我明白了  Now that, I understand
从窗户溜进溜出  Sneak through the window.
我刚刚得知  I am just learning that
替换麦坤的选手是科鲁兹·拉米雷兹  the racer replacing McQueen is Cruz Ramirez
这是她的处女赛  This is her very first race.
其实 达雷尔 资料显示她确实有赢过一次比赛  Actually, Darrell, it says here she does have one win under her belt
比赛地点叫做雷暴山谷  at a place called Thunder Hollow.
雷暴山谷 雷暴山谷  Thunder Hollow! Thunder hollow!
明白  Got it!
注意前方 会偏向高处  Right! Watch out that for, it's gonna go high.
往下 往下  Go low! Go low!
干得漂亮 这帮人跟你一比逊爆了  Nice job, you are smoking these guys.
现在 注意三号发射器  Now, watch the tire marvel's launcher three.
保持轮胎整洁    好的  Keep your tires clean.    Okay.
撞击 进入内道  Bump, coming up on the inside.
小心 不要飞起来  Careful, you don't go airborne.
现在吗    对 就现在  Now?    Yes. Now!
小心墙边 那里有点滑  Watch out by the wall,it's a little slick there.
小心 小心  Watch it! Watch it!
你上了墙  You have hit a wall.
你刚刚上了墙  You have hit a wall!
只是燃起了斗志  Just being aggressive.
进入检修站 注意转数    好的  Hey, come on into the pit, watch your RPM.    Okay.
放开油门 踩刹车 踩刹车啊  Get off the gas, on the brake, on the brake!
太快了  Too fast.
回来就好    抱歉  Oh, we're back here.    Sorry.
好 超过他们 一个个超车  Alright, pick them off, one at a time.
上 上 上  Go! Go! Go!
就这样 又稳又直  That's it! Nice and straight.
上啊 上啊 上啊  Go! Go! Go!
斯莫基 你看到没  Smokey, are you watching!
告诉你一声 拉米雷兹就要追上你了  I just want to let you know, Ramirez is moving up toward you.
我干嘛要关心    因为她已经挤进前十了  Why should I care?    Because now she's in the top ten.
现在你就要追上领跑的车了  Hey, now you are coming up on the leaders.
拉米雷兹升至第四  Ramirez up the fourth.
第四了  In fourth! Huh...
超过他  Oo hoo. Get it done...
拉米雷兹升至第三了  Ramirez is in the third.
你在干什么 风暴  What are you doing, Storm?
制服女孩  Hey, costume girl
一开始我看到你入场比赛 还以为你是定位坏了迷路了呢  You're at first I thought you were down here because your GPS was broken.
别听他的 科鲁兹  Don't listen to him, Cruz.
你看上去不错 知道表面光鲜很重要  You look good. it's important to look the part.
总不能让大家觉得你没资格来参赛  You can't have everyone thinking that you don't deserve to be here.
他只是想惹毛你  Just trying to get in your head.
人们不需要知道我和你的出身和经历  They don't need to know what you and I already do.
你想打扮成什么样的赛车都没关系  That you can play dress   up all you want,
但你永远也成不了我们这样的赛车手  but you'll never be one of us.
科鲁兹 你发现出什么状况了吗  Cruz, did you see what happened there?
发现了 他…他干扰到我了    不对  Yeah, he's in... he's in my head.    No, no.
听我说 你得去干扰他 明白了吗  Listen to me! You got into his head, don't you understand?
你威胁到他了 所以他才故意损你  he would never have done that if you didn't scare him
什么    他怕你赢 你自己还没意识到吧  what!    He see something in you that you don't even see in yourself
我相信你 你也要相信自己  you made me believe it. now, you gotta believe it too
你是赛车 尽情发挥  you are a racer! Use that!
她掉哪儿了    你屁股后面  How far back is she now?    Look behind you!
什么    晚上好 风暴  What!    Good evening, Storm!
我只是挂在你后面  I am just back here graging on your butt
不用担心  nothing to be concerned
就像夏夜的两只金龟子  like two June bugs on a summer night
汉密尔顿    汉密尔顿在  hey, Hamilton!    Hamilton here!
现在时速多少    208英里 207英里  How are my speed?    208 mile per hour, 207 miles per hour
别闹 你把我拽偏了    活该    加油 科鲁兹  stop that! You are taking me off the line!    Ah slap,    come on Cruz
我导航说前方道路堵塞  my GPS say that there's slow travelling in my way
不 不 你休想赢  no no no you are not wining it!
你急了    我没急  You are angry!    I am not angry!
你急你倒是冲啊    说了我没急  You can use that anger to push through    I said I'm not angry.
休想超车  I don't think so
科鲁兹 快脱身    你不属于这条赛道  Cruz, get out of there!    You don't belong on this track!
没错 我属于  yes, I do!
难以置信 科鲁兹拉米雷兹竟然赢了  I don't believe it! It's Cruz Ramirez for the win
真没想到  I didn't expect this
科鲁兹拉米雷兹  Cruz Ramirez
干得漂亮 科鲁兹  way to go, Cruz
精彩至极的胜利  man, heck of a win!
没错 精彩至极  Yeah, heck of a win!
科鲁兹 你飞起来了    谢谢  Hey Cruz, you were flying!    Thanks
你今天真是超棒超酷    谢谢  you really had it roll today, that was cool    thank you
科鲁兹 你灯亮了    是吗 骗我呢 真是的  hey Cruz, your blinkers are on.    It is? You got me! Very funny
去吧 燥两圈  go ahead... get them some smoke
你会习惯的  you'll get used to that
让开 快让开  come on, move it! Move!
科鲁兹 我就知道你有本事 瞧瞧你  Cruz, I knew you had something and now look at you
冠军啊 我可以让你成为队里的赛车  a winner. I could use you as a racer on our team.
我们…    抱歉 斯特林先生  We...    Sorry Mr. Sterling,
我不想为你打工了  I would never race for you.
我辞职  I quit
那来我们队吧  well then race for me
特克斯    科鲁兹小姐  Tex,    Miss Cruz I would be
如果你能来恐龙石油车队 我可要高兴坏了  tickled pink to have you race for team Dinoco
我们历来有许多优秀赛车  as you know we have a long history of great Racers
当然除了卡尔    呃 伙计们 我还没走人呢  except for the Cal. oh guys, I am still right here
恐龙石油啊 科鲁兹    雇她好了 我不在乎  team Dinoco Cruz!    Hire her I don't care.
闪电 既然你退休了  Lightning now that you're retired,
周一早上就过来拍照  I need your first thing Monday morning for a photo shoot
知道了 斯特林先生  yeah all right Mr. Sterling
等一下  oh, hang on now
什么 我名字怎么也跑上面了  what! Why is my name up there!
比赛是你起头的 规则如此  You've started the race that's how it works
等等 怎么回事 不  wait! What! We will, no!
如果闪电麦坤赢了  If Lightning McQueen wins,
就由他决定什么时候退休 这是交易  he decides when he's done racing that was the deal
你好 我是他的律师    所以说你不厚道  hi I'm Miss...    that was the deal you are not a nice guy little
老板 有句说句  look sir, I gotta say,
你可是好价钱弄了个挡泥板啊  you do make a quality mud flap in an affordable price
斯特林先生 我们边开边聊吧  hey Sterling, why don't you and I take a drive and talk...
亿万富翁之间的  Billionaire to billionaire
这孩子有两下 对吧博士  kids got a lot of stuff, huh Doc?
因为她有位好老师  Well she had a great teacher
既然现在你可以决定何时退休  and now you get to decide when you're done racing
之后打算干什么呢 臭臭 哦不 贴纸  so what's it gonna be stinky uh stickers
当然是继续赛车  I'm gonna keep racing but
不过在那之前 我有想做的事  before that I have something I want to do
欢迎来到著名的威利山丘  welcome all to historical Willy's butte
让我们来见证速度的奇迹  for today's great exhibition of speed
谢谢各位    漆喷的漂亮 孩子  thanks guys    nice paint, kiddo
借过 干得漂亮 51  hey hey, coming through get it done 51!
很棒的号码 是闪电麦坤的主意  Great number it was McQueen's idea
他觉得哈德也一定赞同  he felt Hud would've wanted you to have it
我喜欢    完美 非常老派  I love it    oh it's perfect it's very old   school
有人提到老派了啊  did someone just say old school!
超凡麦坤
致敬蓝天博士
新花样啊 我喜欢  you are trying something new I like it.
哇哦 真狡猾  Wow subtle!
我觉得 既然我是领队 当然要有型  I figured if I'm gonna be your crew chief I'd better do it in style
斯特林先生会怎么说  what's Mr. Sterling gonna say
我其实更担心特克斯会怎么说 考虑到他买下了除锈灵公司  I'm actually more worried about what Tex is gonna say, considering he bought rust  eze
谢啦 特克斯  thanks Tex!
我给了那个斯特林好大一笔钱呢  I made that Sterling fella a Texas   sized offer
准备好训练了吗  so, ready to start training!
我不知啊 你准备好输了吗  I don't know you ready to lose again.
但愿你的蓬蓬云还好使  Oh, I hope you got your fluffy cloud
你的滴油盘呢  I hope you got your drip pan!
滴油盘带着 精神百倍呢  I got my drip pan and I'm taking my nap
放马过来吧老家伙    路易吉  bring it on old man..    Luigi!
出发  Go!
别走开 后面有彩蛋哦
