霍顿与无名氏
耶!  Yeah!
我要感谢很多人  There's so many people to thank.
谢谢努尔的好居民  The good people of Nool,
把我关进牢里还用棍子戳我  who put me in a cage and poked me with sticks.
戳他的就是我!  That was me!
我的兄弟摩登，一直支持着我  My buddy Morton, for being the only one who stood by me.
也不算支持啦  Well, not right by me.
他躲在草丛里帮我出主意，他很小  He hid in the bushes,sending me good thoughts. He's small.
老兄，你还真是文武全才  Dude, you are a warrior poet.
最重要的是，我要感谢呼呼镇长  And most of all, I'd like to thank the Mayor of Whoville,
他从一开始就相信我  who believed in me from the beginning.
霍顿，我们会很想念你的  Horton, we're going to miss you.
霍顿，少了你我们该怎么办？  What are we gonna do without you, Horton?
别担心，我会永远守护你们  Don't worry. I'll always be around.
即使我在外流浪  And even as I wander
我仍设法看顾你  I'm keeping you in sight
你是窗畔的烛火  You're a candle in the window
照亮冰冷黑暗的冬夜  On a cold, dark winter's night
真美的比喻  Beautiful metaphor.
而我比我想像中  And I'm getting closer
更靠近你  Than I ever thought I might
这音调高了一点  That's a little high for me.
我再也无法克制这份情感  Baby, I can't fight this feeling anymore
我已忘记我是在抗拒什么  I've forgotten what I started fighting for
就算我得匍匐在你脚下  And if I have to crawl upon your floor
匍匐在你脚下  Crawl upon the floor
撞穿你家大门  Come crashing through your door
撞穿你家大门  Crashing through your door
我再也无法克制…  Baby, I can't fight this feeling anymore
我再也无法克制这份情感  I can't fight this feeling anymore
从此霍顿和呼呼族 以及森林里所有动物  And so all ended well,for both Horton and Whos,
甚至袋鼠妈妈，都过得幸福美满  and for all in the jungle, even kangaroos.
这件事教导我们每一个人  So let that be a lesson, to one and to all.
万物生而平等，不论他们有多渺小  A person's a person,no matter how small.
我再也无法克制这份情感  And I can't fight this feeling anymore
我喜欢这样唱，快一点  Yeah, I like this. Faster, more up  tempo.
我已忘记我是在抗拒什么  I've forgotten what I started fighting for
我无法克制这份情感  I can't fight this feeling
是时候该让我这艘船停靠你岸头  It's time to bring my ship into your shore
好比喻!  That's a metaphor!
抛开船桨  And throw away the oar
又一个比喻  Another metaphor!
买个引擎  And buy an engine
我再也无法克制…这份情感  'Cause I can't fight this feeling anymore
从头到脚  From the weight of my trunk to my toes
我已忘记我是在抗拒什么  I've forgotten what I started fighting for
你不该抗拒什么，享受人生  Well, you shouldn't be fighting anything.Enjoy yourself.
就算我得匍匐在你脚下  If I have to crawl across the floor
撞穿你家那扇烂门 撞穿你家大门  Now, break down your stupid door Crashing through your door
我再也无法克制这份情感  Baby, I can't fight this feeling anymore
空着肚子怎么克制  On an empty stomach
我无法克制这份情感  I can't fight this feeling
我无法克制这份情感  I can't fight this feeling
我随便乱唱的啦  I'm just saying words.
唱歌的感觉真好，真是太爽了!  That felt so good. Cathartic!
怎样？  What?

